ID,label
P24332,1
Q330K6,1
D2Y3T4,1
D2Y291,1
Q4PRD0,1
P60261,1
Q9BP62,1
P0DL27,1
P0DM13,1
Q9DEF9,1
P0DJ81,1
Q75WH6,1
B2KKV6,1
Q9BP94,1
Q9BN11,1
Q9BPB9,1
P0DL53,1
P15817,1
D2Y2F3,1
P0CAS3,1
P59356,1
B6DCY8,1
B2KKV7,1
B6DD38,1
P0CE78,1
Q25338,1
P0C2L0,1
A1IVR7,1
P85975,1
P62390,1
P0CAR4,1
P60978,1
Q7LZG1,1
P45664,1
Q7LZ54,1
Q5W959,1
W4VRU9,1
B6DD18,1
P84704,1
P0CF04,1
E7CLN7,1
Q8I6R2,1
P86819,1
P0DJ31,1
P0DJ82,1
F5C0A0,1
P86975,1
C0HJB1,1
B6DCT5,1
P01455,1
P01412,1
P04971,1
D9U299,1
P0DJ87,1
P82466,1
B3EWV7,1
P0CJ45,1
P01496,1
D2Y259,1
Q86FQ0,1
P0DJ65,1
P0CI15,1
Q9YGJ5,1
P0C5I3,1
P14531,1
P0CAR9,1
K7Z9Q9,1
Q86M31,1
C7DQC1,1
Q6H3C7,1
Q5MJP5,1
P18512,1
Q7LZ52,1
C0HK16,1
P0CB12,1
C0JAZ3,1
W4VS49,1
A6YR41,1
P81782,1
P0CC17,1
D2Y2D6,1
P01482,1
D2Y237,1
Q9IAY0,1
M1INJ1,1
B1P1D9,1
A8CG82,1
Q53B53,1
Q2I2R6,1
Q90Y12,1
P0DKN9,1
B6DCW0,1
Q91510,1
D2Y2B0,1
C0HK50,1
I6R1S4,1
Q8JI38,1
Q9BJV9,1
Q6EAN6,1
P0CI17,1
P0DOZ2,1
P69494,1
P59850,1
P0C1T6,1
P0CI87,1
P0DKT1,1
P84715,1
Q8JIY9,1
P58911,1
Q9YGI0,1
P0DM43,1
P0C2F4,1
P0DL38,1
D2Y210,1
I6S7H3,1
D2Y247,1
P45667,1
P69770,1
P26349,1
D2Y2M9,1
B1P1F8,1
H2BKS9,1
Q7LZK1,1
P0DKN3,1
Q9BP70,1
P61230,1
P83256,1
Q9PRY9,1
Q7LZK6,1
P84892,1
Q3SAE8,1
Q92032,1
P86396,1
P08380,1
P61096,1
Q6ITB1,1
A6YR31,1
O42256,1
D2Y2E6,1
P0DL45,1
Q9BPC1,1
A6YR23,1
Q8AY79,1
A6YR26,1
P0DJ49,1
P69763,1
P59898,1
P0C247,1
C5H5D6,1
B0VXV6,1
P60308,1
P0DMV6,1
F1CJ80,1
P86263,1
W4VSC0,1
P0CY61,1
P22826,1
Q1RP78,1
P01441,1
P56612,1
P50985,1
B6DCW1,1
A0A0B5A7M7,1
P01479,1
X1WB75,1
P17495,1
C7G3K3,1
P31988,1
P84472,1
P80670,1
B3EWH2,1
P83619,1
P0DJM7,1
P0DN55,1
Q9YGJ9,1
Q6B4T4,1
P0C1Z3,1
C0HJW2,1
C0JB28,1
P0CAQ3,1
P30426,1
B1P1J1,1
O46167,1
P01425,1
D3TTC2,1
Q9BPD4,1
C5J893,1
G1AS74,1
P04099,1
B6DCR1,1
P19004,1
Q9XZK4,1
Q5K0C2,1
P0DMM6,1
C6EVG7,1
